,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_9020,Date_9020,diff_9020,Close_9021,Date_9021,diff_9021,Close_9048,Date_9048,diff_9048
134,2016/6/15,18445,18610,18305,18420,428600,7900989500,134,9412,2016/6/15,-0.007277713321379609,6560,2016/6/15,-0.0102595051297526,541,2016/6/15,-0.005514705882352922
135,2016/6/14,18510,18745,18300,18445,437900,8073798000,135,9481,2016/6/14,0.0006332453825856899,6628,2016/6/14,-0.008378216636744429,544,2016/6/14,-0.00366300366300365
136,2016/6/13,18955,18995,18570,18570,399800,7475362500,136,9475,2016/6/13,-0.020165460186142736,6684,2016/6/13,-0.03647109701600115,546,2016/6/13,-0.023255813953488413
137,2016/6/10,19480,19480,19125,19275,669000,12944440500,137,9670,2016/6/10,-0.018274111675126936,6937,2016/6/10,-0.0012957097610135637,559,2016/6/10,-0.012367491166077715
138,2016/6/9,19230,19365,19175,19300,337000,6499914000,138,9850,2016/6/9,-0.017946161515453585,6946,2016/6/9,-0.0119487908961593,566,2016/6/9,-0.010489510489510523
139,2016/6/8,19240,19370,19105,19370,362900,6989825000,139,10030,2016/6/8,0.007837620578778237,7030,2016/6/8,0.01589595375722541,572,2016/6/8,0.0
140,2016/6/7,19025,19165,18940,19105,401100,7654472000,140,9952,2016/6/7,0.004643650312941672,6920,2016/6/7,-0.0014430014430014682,572,2016/6/7,0.015985790408525657
141,2016/6/6,18760,19050,18655,19030,323900,6128024500,141,9906,2016/6/6,0.013297872340425565,6930,2016/6/6,0.010351363172474093,563,2016/6/6,0.023636363636363678
142,2016/6/3,18820,18970,18770,18970,340900,6434737000,142,9776,2016/6/3,0.02024629513671461,6859,2016/6/3,0.02664271815596475,550,2016/6/3,0.014760147601476037
143,2016/6/2,19125,19185,18815,18875,415800,7876126500,143,9582,2016/6/2,-0.027405602923264327,6681,2016/6/2,-0.02694436353043983,542,2016/6/2,-0.025179856115107868
144,2016/6/1,19550,19630,19190,19250,426500,8225479500,144,9852,2016/6/1,-0.027923038973852954,6866,2016/6/1,-0.009806749351023991,556,2016/6/1,-0.0035842293906810374
145,2016/5/31,19215,19640,19095,19630,509600,9926285000,145,10135,2016/5/31,0.005456349206349298,6934,2016/5/31,0.0011550678602367803,558,2016/5/31,-0.010638297872340385
146,2016/5/30,19400,19445,19215,19300,308400,5947160500,146,10080,2016/5/30,0.013880506940253445,6926,2016/5/30,0.022740696987596065,564,2016/5/30,0.018050541516245522
147,2016/5/27,19630,19630,19280,19305,371500,7206826000,147,9942,2016/5/27,0.008111944838775198,6772,2016/5/27,0.039447429009976887,554,2016/5/27,0.00910746812386165
148,2016/5/26,19550,19780,19450,19590,483000,9490229500,148,9862,2016/5/26,0.011590932403323428,6515,2016/5/26,0.00898249961282338,549,2016/5/26,0.005494505494505475
149,2016/5/25,19300,19350,19115,19135,321700,6176189500,149,9749,2016/5/25,0.011307053941908674,6457,2016/5/25,0.007961286294099201,546,2016/5/25,-0.001828153564899404
150,2016/5/24,19105,19175,18960,19000,305700,5825187500,150,9640,2016/5/24,-0.013306038894575267,6406,2016/5/24,-0.01582424335535415,547,2016/5/24,-0.014414414414414378
151,2016/5/23,19180,19235,18860,19110,368900,7024899500,151,9770,2016/5/23,-0.009931090393190067,6509,2016/5/23,-0.005956017104459366,555,2016/5/23,0.0
152,2016/5/20,19300,19330,19185,19270,336000,6471030500,152,9868,2016/5/20,-0.004740292486132169,6548,2016/5/20,-0.0010678871090770148,555,2016/5/20,0.007259528130671544
